erklaeren_f1	So 	erklärtkeywordtag 	etwa Edward Brandon von dem Unternehmen National City in Ohio 
erklaeren_f1	Beide setzen auf eine `` Wegelenkung '' auf Zonierungen sowie räumliche und zeitliche Beschränkungen etwa in Brut- Rast- oder Mauserzeiten von Wasservögeln deren Sinn dem Menschen nachvollziehbar 	erklärtkeywordtag 	werden müßten 
erklaeren_f1	Er sei `` ein überzeugender Kandidat '' 	erklärtekeywordtag 	der FDP-Vorsitzende Wolfgang Gerhardt am Donnerstag in Gegensatz zu Bundeskanzler Helmut Kohl CDU der Sympathie für den niederländischen Bewerber Ruud Lubbers erkennen ließ 
erklaeren_f2	Als Auflösung des Arbeitsvertrages müßten auch Vereinbarungen verstanden werden in denen sich der Arbeitnehmer etwa gegen Zahlungen mit einer Kündigung einverstandenkeywordtag 	erklärtkeywordtag 	und deshalb `` am Ende des Beschäftigungsverhältnisses mitwirkt '' 
erklaeren_f1	Mit der jetzigen Entscheidung wird aber festgestellt daß nicht nur der klassische Aufhebungsvertrag zu einer Sperre des Arbeitslosengeldes führen kann sondern daß auch `` Vereinbarungen '' die neben einer offiziellen Kündigung getroffen wurden und in denen sich der Mitarbeiter meist gegen Zahlung seitens des Arbeitgebers mit der Kündigung einverstandenkeywordtag 	erklärtkeywordtag 	als Auflösung des Arbeitsverhältnisses gelten können 
erklaeren_f3	Das Hessische Landessozialgericht hatte die Sperrzeit für unzulässig 	erklärtkeywordtag 	
erklaeren_f1	Wenn die Europaabgeordneten die Verhältnisse in der Türkei unvoreingenommen betrachteten müßten sie zu dem Ergebnis kommen daß ihr Land die Zollunion verdient habe 	erklärtekeywordtag 	Cillerkeywordtag 
erklaeren_f1	unser Land war auf dem Tiefpunkt seiner Geschichte angekommen '' 	erklärtekeywordtag 	Kinkelkeywordtag in Bonn 
erklaeren_f1	wegen der `` Gewalt die unsere Beschäftigten dort unten erfahren mußten '' wiekeywordtag eskeywordtag ein Shell-Sprecher der FR 	erklärtekeywordtag 	
erklaeren_f1	Wie 1940 als de Gaulle sich weigerte die Niederlage Frankreichs zu akzeptieren und die Franzosen von London aus zum Widerstand gegen Deutschland aufrief komme es jetzt darauf an `` Entmutigung Konformismus und Resignation zurückzuweisen '' 	erklärtekeywordtag 	Chirackeywordtag 
erklaeren_f1	Anfang der 90er Jahre als der angesehene Bürgermeister seinen Kämmerer beiseite schob und sich selbst für alle Geldgeschäfte zuständig 	erklärtekeywordtag 	war Neckarwestheim nicht nur schuldenfrei sondern hatte als reichste Gemeinde in ganz Baden-Württemberg schon rund 40 Millionen Mark auf der hohen Kante 
erklaeren_f1	BKA-Sprecher Gerhard Schlemmer 	erklärtekeywordtag 	dagegen erneut die Wiesbadener Kriminalbehörde habe keine originäre Zuständigkeit im Kampf gegen solche Verbrechergruppen 
erklaeren_f2	Sokeywordtag 	erklärtkeywordtag 	Klaus Kinkel weshalb er für den 15. und 16. November zu einer großen Konferenz unter dem Motto `` Europa und die islamische Welt '' in Bonn eingeladen hat 
erklaeren_f1	Kinkelkeywordtag 	erklärtkeywordtag 	von sich aus weshalb auch der iranische Außenminister Ali Akbar Welayati geladen ist 
erklaeren_f1	In extremen Fällen könne es zu einer Überhitzung des Motors kommen 	erklärtekeywordtag 	Seatkeywordtag am Freitag in Barcelona 
erklaeren_f1	Daraufhin habe Lubberskeywordtag 	erklärtkeywordtag 	er stehe nicht mehr als Kandidat zur Verfügung 
erklaeren_f1	Die Demokraten im Senat 	erklärtenkeywordtag 	die republikanische Mehrheit wolle Clinton mit der drohenden Zahlungsunfähigkeit erpressen 
erklaeren_f1	`` Schneeballgleich hat sich eine Lawine entwickelt die an Dramatik immer weiter zunahm '' 	erklärtekeywordtag 	erkeywordtag vor Gericht 
erklaeren_f1	Die Erhöhung der Kreditlinie der Hamburgischen Landesbank für die Gesellschaft auf 174 Millionen Mark sei mit dem europäischen Stahlbeihilfenkodex nicht vereinbar 	erklärtkeywordtag 	Brüsselkeywordtag 
erklaeren_f2	Kann mankeywordtag daskeywordtag 	erklärenkeywordtag 	
erklaeren_f1	Doch der Dichter 	erklärtkeywordtag 	auch damit seiner Zeit gewiß voraus wie dies gekommen ist 
erklaeren_f1	Ich kann dazu nichts sagen '' 	erklärtekeywordtag 	der verantwortliche IFC-Projektleiter Osman Shahansha 
erklaeren_f1	Der schweizerische Führerschein wurde mit einem Stempel für ungültig 	erklärtkeywordtag 	
erklaeren_f5	Man selbst 	erklärtkeywordtag 	Constantin von Brandenstein Präsident des Malteser-Hilfsdienstes das Engagement der Beteiligten sei zwar eine `` rasende Minderheit '' doch stecke `` in den Menschen auch in der heutigen Gesellschaft eine ganz große Hilfsbereitschaft '' wenn auch latent 
erklaeren_f1	Dem `` Kettensägen-König '' den Krieg 	erklärtkeywordtag 	
erklaeren_f1	Es sei `` ein unglücklicher Vorgang für die Menschenrechte '' daß der Preis an eine Person gegangen sei der die Gerichte Verbindungen zu einer Terrororganisation nachgewiesen hätten 	erklärtekeywordtag 	ein Sprecher des türkischen Außenministeriums in Ankara 
erklaeren_f1	Die sozialistische Europaabgeordnete Pauline Green 	erklärtekeywordtag 	die Preisverleihung sei `` ein unmißverständliches Signal an die Regierung in Ankara '' 
erklaeren_f1	Es sei `` ein unglücklicher Vorgang für die Menschenrechte '' daß der Preis an eine Person gegangen sei der die Gerichte Verbindungen zu einer Terrororganisation nachgewiesen hätten 	erklärtekeywordtag 	in Ankara ein Sprecher des türkischen Außenministeriums 
erklaeren_f1	Leyla Zana sei stellvertretend für alle Kurden die um Frieden und Freiheit kämpfen geehrt worden 	erklärtekeywordtag 	der Vorsitzende des türkischen Menschenrechtsvereins IHD Akin Birdal 
erklaeren_f1	Diekeywordtag sozialistische Euro-Abgeordnete Pauline Green 	erklärtekeywordtag 	die Preisverleihung sei `` ein klares und unmißverständliches Signal an die Regierung in Ankara '' 
erklaeren_f1	Was Geschäftsinteressen selbst auf dem Hintergrund amerikanisch-europäischer Konkurrenz mit dem notwendigen Dialog der Religionen zu tun haben soll der katholische deutsche Außenminister unskeywordtag erst einmal unjesuitisch 	erklärenkeywordtag 	
erklaeren_f2	Bundesinnenminister Manfred Kanther CDU hat das Bundesverfassungsgericht in Karlsruhe davor gewarnt Teile des neuen Asylrechts für verfassungswidrig zu erklären 
erklaeren_f1	Während die Regierung in Den Haag freudig 	erklärtekeywordtag 	nun sei ihr Mann offizieller Kandidat ließ die Führungsmacht wissen dieser habe `` bei uns niemanden beeindruckt '' 
erklaeren_f1	Ulrich Irmer außenpolitischer Sprecher der FDP-Fraktion 	erklärtekeywordtag 	man melde sich aus der Politik ab wenn man nicht versuche `` mit den Schlimmsten zu reden '' 
erklaeren_f1	Wenn der CDU-Politiker den inneren Frieden in diesem Land schon deswegen als bedroht bezeichnet weil die Richter einige der Asyl-Bestimmungen für verfassungswidrig 	erklärenkeywordtag 	könnten wenn der Minister jede kleine Korrektur an den Gesetzen quasi mit ihrer Zerschlagung gleichsetzt wenn der Christdemokrat selbst die drastisch gesunkenen Flüchtlingszahlen noch immer als riesiges Problem darstellt und wenn Kanther im Hinblick auf die Anhörung des Gerichts eine dramatisierende Formulierung an die andere reiht Dann kann man das wohl kaum anders als politischen Druck auf die Karlsruher Richter nennen 
erklaeren_f1	Diese und andere Defizite im neuen Asylrecht muß das Bundesverfassungsgericht für verfassungswidrig 	erklärenkeywordtag 	
erklaeren_f1	Das britische Außenministerium 	erklärtekeywordtag 	mit den Hinrichtungen habe Nigeria gegen seine Verpflichtung aus internationalem Recht verstoßen faire Prozesse und ein Recht auf Berufung zu gewähren 
erklaeren_f1	Eine Entscheidung gibt es aber noch nicht '' 	erklärtkeywordtag 	ein VW-Sprecher 
erklaeren_f1	Für `` Schwachsinn '' hat etwa der Filmemacher Edgar Reitz die Pläne 	erklärtkeywordtag 	in Straßburg künftig ein europäisches Filmfestival etablieren und mit der Felix-Vergabe krönen zu wollen 
erklaeren_f1	Kohlkeywordtag hat Chinakeywordtag zur Chefsache 	erklärtkeywordtag 	
erklaeren_f1	Nelson Mandela 	erklärtekeywordtag 	er habe `` ein reines Gewissen 
erklaeren_f1	Die ehemalige SPD-Spitzenkandidatin Ingrid Stahmer 	erklärtekeywordtag 	ein schonungsloser `` Kassensturz '' sei Voraussetzung für alle weiteren Überlegungen 
erklaeren_f1	SPD-Präsidiumsmitglied Gerhard Schröder dem diese Sätze offenbar galten 	erklärtekeywordtag 	sich bereitkeywordtag in Scharpings Team wieder mitzuwirken 
erklaeren_f1	Außenminister Tom Ikimi 	erklärtekeywordtag 	auf einer Pressekonferenz in Auckland mit Bezug auf die Aussetzung der Mitgliedschaft seines Landes im Commonwealth Nigeria sei ein `` friedliebendes und verantwortungsbewußtes '' Land das eine bessere Behandlung verdient habe 
erklaeren_f1	Das Commonwealth habe sich in die internen Angelegenheiten seines Landes eingemischt und überhastet gehandelt ohne die Fakten zu kennen 	erklärtekeywordtag 	Ikimi der von den weiteren Beratungen ausgeschlossen worden war 
erklaeren_f1	Wiekeywordtag Sprecher der SPD-geführten Regierungen in Nordrhein-Westfalen Hessen Schleswig-Holstein Hamburg und dem Saarland 	erklärtenkeywordtag 	sollenkeywordtag bis auf weiteres nigerianische Asylsuchende nicht mehr gezwungen werden die Bundesrepublik zu verlassen 
erklaeren_f1	Die Verfassungsrichter hatten die Verwendung des Tucholsky-Zitats für zulässig 	erklärtkeywordtag 	wenn nicht einzelne Soldaten als `` Mörder '' bezeichnet würden sondern das Soldatentum an sich gemeint ist 
erklaeren_f1	Der baden-württembergische FDP-Vorsitzende Walter Döring 	erklärtekeywordtag 	er halte es für völlig unmöglich daß 40 Abgeordnete der Regierungsparteien Kinkel und die Koalition in große Schwierigkeiten gebracht hätten 
erklaeren_f1	Die starke Aufwertung der Mark und die hohen Tarifabschlüsse hätten diese Hoffnung zerstört 	erklärenkeywordtag 	die `` Weisen '' nun 
erklaeren_f1	doch war das offenbar nur Tarnung für die vielen Italienern der älteren Generation unangenehmen Wahrheiten wie die daß es über die italienischen Kriegstaten vor dem 8. September 1943 große Lücken gibt während Untersuchungen über den Widerstand diekeywordtag Italienkeywordtag zu einer Art Sieger des Krieges 	erklärenkeywordtag 	ganze Bibliotheken füllen 
erklaeren_f1	Ein Sprecher des südkoreanischen Außenministeriums 	erklärtekeywordtag 	`` Wir sind geschockt und verärgert über dieses verzerrte Geschichtsbild eines japanischen Politikers '' 
erklaeren_f1	Fast genauso viele 	erklärenkeywordtag 	sie würden vom Staat unterstützt 
erklaeren_f2	`` Einzelne Mitgliedsstaaten haben in den zurückliegenden Jahren erklärt sie seien zur Zeit nicht zu einer Einführung der Steuer bereit '' 	erklärtkeywordtag 	Repnikkeywordtag 
erklaeren_f1	Obwohl die Ergebnisse aus den ländlichen Provinzen noch fehlten 	erklärtekeywordtag 	sichkeywordtag Arzukeywordtag bereits zum Sieger 
erklaeren_f1	Der Regierungschef hatte am Sonntag im britischen Fernsehen 	erklärtkeywordtag 	er erwarte sich `` Erläuterungen '' Shells zu der geplanten Fabrik 
erklaeren_f1	Daskeywordtag 	erklärtekeywordtag 	Grünen-Sprecherin Anne Nilges am Dienstag in Bonn nach einem Treffen des DGB-Vorsitzenden Dieter Schulte und weiterer führender Gewerkschafter mit Spitzenpolitikern aus Partei und Bundestagsfraktion der Bündnisgrünen 
erklaeren_f1	Der Volkspolizist habe nach zwei Warnschüssen aus acht Metern Entfernung gezielt auf den Flüchtenden geschossen und ihn tödlich getroffen 	erklärtekeywordtag 	die Staatsanwaltschaft 
erklaeren_f1	Der Schauspieler Robert Meyer hat in einem offenen Brief an Direktor Claus Peymann seinen Rücktritt als Mitglied und Sprecher der Vertretung des Ensembles 	erklärtkeywordtag 	
erklaeren_f1	Der Bund hat sich bereitkeywordtag 	erklärtkeywordtag 	zu den bis Ende 1996 aufgelaufenen Schulden und Zinsen in Höhe von rund 8,7 Milliarden Mark rund eine Milliarde Mark beizusteuern 
erklaeren_f1	Die Hochschulrektorenkonferenz HRK wird keine Forderung nach einer Einführung von Studiengebühren verabschieden 	erklärtekeywordtag 	ihr Präsident Hans-Uwe Erichsen 
erklaeren_f1	Erkeywordtag identifizierte Nilakout vor Gericht als Täter und 	erklärtekeywordtag 	er hoffe auf die Todesstrafe 
erklaeren_f1	`` Wir bei IBM wetten unsere Zukunft darauf daß aus dem Personal-Computer ein Interpersonal-Computer wird '' 	erklärtekeywordtag 	der Chef des EDV-Konzerns Louis Gerstner zur Eröffnung der Branchenmesse Comdex in Las Vegas 
erklaeren_f1	Anschließend habe mankeywordtag 	erklärtkeywordtag 	Semestergebühren könnten nur ein letztes Mittel sein 
erklaeren_f1	Die Wahl solle lediglich eine `` Diktatur '' legitimieren 	erklärtenkeywordtag 	die Oppositionellen übereinstimmend 
erklaeren_f1	Der große Andrang der etwa 730 000 Auslandsalgerier die bereits am Samstag mit der Stimmabgabe begonnen hatten wurde ebenfalls mit Repression 	erklärtkeywordtag 	
erklaeren_f1	Der Präsident der Hochschulrektorenkonferenz Hans-Uwe Erichsen 	erklärtekeywordtag 	am Dienstag in Bonn Semestergebühren könnten nur das letzte Mittel gegen die Finanzmisere an den Hochschulen sein 
erklaeren_f1	Als die Universität Passau 1978 gegründet wurde 	erklärtekeywordtag 	mankeywordtag die `` Maria im Siege '' einfach zur Symbolfigur des Wissenschaftsbetriebes 
erklaeren_f1	Beispielhaft für viele 	erklärtkeywordtag 	Minister Rüttgers die ökologischen Vorteile der Informationsgesellschaft damit Telearbeit könne den Berufsverkehr ebenso merklich ausdünnen wie Videokonferenzen die Dienstreisen 
erklaeren_f1	`` Wir konzentrieren uns auf Marktnischen in denen wir schneller sein können als die Telekom '' 	erklärtkeywordtag 	Deutschland-Chef Horst Enzelmüller 
erklaeren_f1	Der `` Hevalti '' -Vorstand kündigte Rechtsmittel gegen das Verbot an und 	erklärtekeywordtag 	die Vorwürfe beträfen nicht den Verein als solchen 
erklaeren_f1	Eto war unter Druck geraten weil erkeywordtag 	erklärtkeywordtag 	hatte die japanische Herrschaft über Korea zwischen 1910 und 1945 habe auch `` ihre guten Seiten '' gehabt 
erklaeren_f1	Die Gesamthöhe der Provisionen werde durch die kostenlosen Schulungen und die garantierten Zahlungen nicht gekürzt 	erklärtkeywordtag 	Maschmeyerkeywordtag 
erklaeren_f1	Um dies umzusetzen müssen allerdings die hiesigen Tarifregelungen für allgemeinverbindlich 	erklärtkeywordtag 	werden 
erklaeren_f1	Mit der konjunkturellen Abkühlung sei diese Entwicklung nicht zu erklären 
erklaeren_f1	Die WTO 	erklärtkeywordtag 	dieses Phänomen mit technischen Innovationen welche die Kommunikations- und Transportkosten verringerten und damit den grenzüberschreitenden Austausch erleichterten 
erklaeren_f1	Das Thema werde von `` manchen Befürwortern einer Flexibilisierung der Ladenschlußzeiten zu einer Symbolfrage für Anpassungsfähigkeit und Beweglichkeit '' hochstilisiert 	erklärtekeywordtag 	Bohlkeywordtag und fuhr fort 
erklaeren_f1	Geduldig muß ein Wachmann dem empörten Touristen die Finanznöte der Bundesregierung 	erklärenkeywordtag 	
erklaeren_f1	Die sogenannte modifizierte Zugewinngemeinschaft berücksichtige die Interessen beider Partner besser als die von Laien oft pauschal empfohlene Gütertrennung 	erklärtenkeywordtag 	die Rheinischen Notare in Köln stellvertretend für vier deutsche Notarkammern 
erklaeren_f1	Der französische Wirtschafts- und Finanzminister Jean Arthuis 	erklärtekeywordtag 	er schließe Sanktionen gegen Teilnehmer des Geldverbundes die die Stabilitätskriterien verletzen nicht aus 
erklaeren_f1	Das Paket könnte an private Investoren gehen 	erklärtkeywordtag 	Vorstandssprecher Wolfgang Steinriede 
erklaeren_f1	Es gebe keinen Grund die Sätze zu senken da sich die wichtigsten Daten der Volkswirtschaft nicht geändert hätten 	erklärtekeywordtag 	Thomas Mayer Chefökonom bei Goldman Sachs in Frankfurt 
erklaeren_f1	Sokeywordtag 	erklärenkeywordtag 	sich wohl neben Vorzügen auch die Schwächen der Montessori-Pädagogik 
erklaeren_f1	Es gibt eine große Freundlichkeit zwischen den Leuten und gleichzeitig viel Gewalt eskeywordtag ist nicht zu 	erklärenkeywordtag 	
erklaeren_f1	Von heute her 	erklärtkeywordtag 	sich manche Facette des ungeheuren Gouldschen Nachruhms 
erklaeren_f1	Das UN-Tribunal hatte am Dienstag die Auslieferung des 39jährigen Serben aus Deutschland für rechtmäßig 	erklärtkeywordtag 	
erklaeren_f2	Die Differenz 	erklärtkeywordtag 	sich im wesentlichen durch die Rückgabe von Rentenfonds-Zertifikaten 
erklaeren_f1	Jede Wahlurne ein Sarg '' 	erklärtekeywordtag 	siekeywordtag 
erklaeren_f1	`` Wir müssen weiter restrukturieren '' 	erklärtkeywordtag 	der Manager `` und das Thema wird uns über den ganzen Zeitraum begleiten in dem wir jetzt denken '' 
erklaeren_f1	Das Fehlverhalten von Mitarbeitern des Reviers Mitte 	erklärtkeywordtag 	sich Dresslerkeywordtag so Der ständige Umgang mit Randgruppen habe möglicherweise `` abgefärbt '' und die Achtung vor dem Nächsten gelitten 
erklaeren_f1	Damit erhofft man sich den rüden Ton unter Männern abzumildern 	erklärtekeywordtag 	der Polizeisprecher 
erklaeren_f1	Am Vortag hatte erkeywordtag nach dem Abschluss des Treffens der Westeuropäischen Union in Madrid 	erklärtkeywordtag 	es liege nicht an ihm die Frage nach seiner Kandidatur zu beantworten 
erklaeren_f2	`` Wehrpflicht glaubwürdig zu erhalten heißt also zu erklären weshalb wir sie trotz des Wegfalls der unmittelbaren äußeren Bedrohung immer noch benötigen '' sagte der Bundespräsident 
erklaeren_f1	Es lasse sich aber vielmehr belegen daß sie in Wahrheit `` im Prinzip rational auf das reagieren was ihnen widerfahren ist '' 	erklärtekeywordtag 	van Dijk 
erklaeren_f1	Auch Scharping selbst 	erklärtekeywordtag 	daß er kandidieren wolle 
erklaeren_f1	CDU-Generalsekretär Peter Hintze 	erklärtekeywordtag 	mit der Wahl Lafontaines verlasse die SPD die politische Mitte 
erklaeren_f1	Der Vorsitzende des Arbeitsrings Rainer Guski 	erklärtekeywordtag 	`` Die Studie belegt daß 2000 bis 3000 tödlich verlaufende Herzinfarktfälle jährlich vermieden werden könnten wenn die Belästigung durch Verkehrslärm auf unter 65 Dezibel A gesenkt werden könnte '' 
erklaeren_f1	Der BUND 	erklärtekeywordtag 	Dauerlärm bedeute auch Dauerstreß 
erklaeren_f1	Guskikeywordtag 	erklärtekeywordtag 	bundesweit fühlten sich 75 Prozent der Bürger durch Lärm belästigt 
erklaeren_f1	Das Endlager unterliege der Eigenaufsicht des Bundes 	erklärtekeywordtag 	das Gericht 
erklaeren_f1	Der deutsche PEN-Club will den von islamistischen Organisationen mit dem Tode bedrohten ägyptischen Literaturwissenschaftler Nasr Hamed Abu Zaid und seine Frau zu Ehrenmitgliedern 	erklärenkeywordtag 	
erklaeren_f1	Der Richter war dem Antrag islamistischer Anwälte gefolgt diekeywordtag Abu Zaid wegen seiner Schriften zum Ungläubigen 	erklärenkeywordtag 	lassen wollten 
erklaeren_f1	Neben Jones 	erklärtekeywordtag 	sich auch einer der zwei als Mittäter verdächtigten Männer Alvin Hudson 22 zu einem Geständnis bereitkeywordtag 
erklaeren_f1	Der Parteigründer der rechtsextremistischen Republikaner hat seinen Austritt aus der Partei 	erklärtkeywordtag 	
erklaeren_f1	Der `` Marsch in den rechten Fundamentalismus '' sei ein Irrweg 	erklärtekeywordtag 	Schliererkeywordtag in Stuttgart 
erklaeren_f1	Der BASF-Sprecher 	erklärtkeywordtag 	ein Verdacht gegen sein Unternehmen sei unbegründet 
erklaeren_f1	Nachdem er eine Mitarbeit in der Regierung bisher stets auf die Zukunft vertagt hatte 	erklärtekeywordtag 	erkeywordtag sich jetzt erstmals zur Kanzlerschaft bereitkeywordtag sollte die FPÖ die Wahl im Dezember doch noch gewinnen 
erklaeren_f1	Zu Hause muß ichkeywordtag immer 	erklärenkeywordtag 	daß wir zwar souverän aber klein sind '' 
erklaeren_f1	Ein Berliner Problem Jedem zweiten Taxifahrer müssen Siekeywordtag 	erklärenkeywordtag 	wo die Theater liegen 
erklaeren_f1	Übrigens hat erkeywordtag ja 	erklärtkeywordtag 	daß ich käme er an die Macht sofort entlassen würde 
erklaeren_f1	Um den gesetzlichen Anspruch einzulösen müßten neue Rehabilitationsangebote geschaffen werden 	erklärtekeywordtag 	der Referatsleiter des Ministeriums 
erklaeren_f1	`` Wir warten nur auf Konzepte '' 	erklärtekeywordtag 	Pettrichkeywordtag 
erklaeren_f1	Auch die Bereitschaft der Hausärzte den über 60jährigen Ergo- und Logotherapie zu verordnen sei gering 	erklärtekeywordtag 	Pettrichkeywordtag 
erklaeren_f1	Nicht nur jene der Institute von denen er in Düsseldorf schon zwei für zusammenlegungsfähig hält nur weil sichkeywordtag deren Leiter für vorruhestandsreif 	erklärenkeywordtag 	
erklaeren_f1	Dengs Antwort mit der er sich in der Parteiführung durchsetzte ist bekannt wenn auch meistens falsch 	erklärtkeywordtag 	
erklaeren_f1	Siekeywordtag 	erklärenkeywordtag 	die heimische Flora und Fauna 
erklaeren_f1	Nur mit aus Überheblichkeit geborenem Leichtsinn kann 	erklärtkeywordtag 	werden daß Gingrich zu alledem auch noch Steuergeschenke an die Wohlhabenden geben will 
erklaeren_f1	Während Gingrich und seine Leute wie fleißige Buchhalter Seite um Seite eines Haushaltes nach ihrem Gusto berechneten und mit einem zweibändigen voluminösen Werk endeten reiste Clinton durchs Land und tat das was er am besten kann erkeywordtag sprach mit den Leuten und 	erklärtekeywordtag 	ihnenkeywordtag daß sanfte Reformen nach seiner Art besser sind als `` Revolutionen '' à la Gingrich 
erklaeren_f1	`` Oskarkeywordtag hat auf meine Frage hin 	erklärtkeywordtag 	daß er ebenfalls kandidieren wird '' 
erklaeren_f1	Für die endgültige Besetzung seien bereits `` mehrere Kandidaten in die engere Auswahl genommen '' 	erklärtkeywordtag 	das Unternehmen 
erklaeren_f1	Bereits im Sommer war von Verlusten die Rede diekeywordtag zum Teil mit dem Engagement beim Maschinenbauer Schiess 	erklärtkeywordtag 	wurden 
erklaeren_f1	Nach der generellen Öffnung des dortigen Marktes 1998 wolle das Quartett `` der führende Herausforderer von Telecom Italia werden '' 	erklärtkeywordtag 	ein Sprecher von France Telecom 
erklaeren_f1	`` France Telecom hat uns ein Angebot unterbreitet '' 	erklärtkeywordtag 	ein Sprecher 
erklaeren_f1	Gysikeywordtag 	erklärtekeywordtag 	im Saarländischen Rundfunk er habe Lafontaine neulich in einer ZDF-Sendung getroffen und anschließend ein Gespräch mit dem mecklenburg-vorpommerschen SPD-Chef Ringstorff vereinbart 
erklaeren_f2	Auch der Barrikadenbau am Eingang des ehemaligen Sprengel-Fabrikgeländes sei sokeywordtag zu erklären meinte Albert 
erklaeren_f1	Viele Wählerinnen und Wähler 	erklärtenkeywordtag 	sie seien zur Urne gegangen damit der Friede im Lande zurückkehre 
erklaeren_f1	`` Wir sind vor die Alternative gestellt worden trotz der Morddrohungen zur Urne zu gehen oder die Lage anzunehmen wie sie ist '' 	erklärtekeywordtag 	ein Wähler in Tamanrasset 
erklaeren_f1	Viele SPD-Stadtverordnete unterstützten Glaser nicht weil erkeywordtag 	erklärtkeywordtag 	hatte der Kampf für gewerbliche Arbeitsplätze in Frankfurt lohne nicht 
erklaeren_f1	Der Präsident hatte zuvor im Fernsehen 	erklärtkeywordtag 	er bleibe standfest auch wenn sich der Streit ein halbes Jahr lang hinziehen sollte 
erklaeren_f1	`` Wilderer '' 	erklärtkeywordtag 	Grzimeks Nachfolger Christian Schmidt 
erklaeren_f1	Der Tierarzt des Berliner Zoos Reinhard Göltenboth 	erklärtkeywordtag 	die Größe der zu überwachenden Gebiete und die Skrupellosigkeit der Banden hätten es den Wildhütern schwergemacht 
erklaeren_f1	Der Vorsitzende Heinz-Werner Arens 	erklärtekeywordtag 	es habe eine Vielzahl von Korrekturen an dem Berichtsentwurf gegeben die aber nicht die Grundlinie verändert hätten 
erklaeren_f1	`` Wenn die nigerianische Regierung nicht davor zurückschreckt unmittelbar vor dem Commonwealth-Gipfel Ken Saro-Wiwa und acht weitere Menschen hinzurichten müssen wir auch um das Leben der übrigen inhaftierten Ogoni fürchten '' 	erklärtekeywordtag 	amnestykeywordtag 
erklaeren_f1	Die Stadt wolle mit dem Vertrag die Schadstoffbelastung ihres regelmäßig ausgebaggerten Hafenschlamms langfristig verringern damit nicht weiter ein Teil des Schlammes auf eine Sonderdeponie gebracht werden müsse 	erklärtekeywordtag 	der VCI 
erklaeren_f1	Dem Tribunal lägen Hinweise auf unvorstellbare Barbareien vor 	erklärtekeywordtag 	Richter Fouad Riad 
erklaeren_f1	Der Sprecher der Frankfurter Staatsanwaltschaft Job Tilmann hatte in der vergangenen Woche 	erklärtkeywordtag 	bis zur Auslieferung Schneiders könnte möglicherweise noch ein weiteres Jahr vergehen 
erklaeren_f1	Moskaukeywordtag hatte zuvor 	erklärtkeywordtag 	es werde den Vertrag über die konventionelle Abrüstung in Europa nicht einhalten 
erklaeren_f1	`` Wer uns besucht '' so 	erklärtkeywordtag 	Walburga Staffler als Präsidentin des Fremdenverkehrsvereins `` ist meist Gast in unseren eigenen Stuben 
erklaeren_f1	Doch das gehörte der Vergangenheit an als Pedro de Valdivia am 12. Februar 1541 am Fuße des Berges Huelén sein Schwert in den Boden rammte und die Stadt Santiago gründete diekeywordtag erkeywordtag zur Hauptstadt des Königreiches Chile im spanischen Reich 	erklärtekeywordtag 	
erklaeren_f1	Seit die Stadt 1982 den Häuserblock zum Nationalen Monument 	erklärtekeywordtag 	hat er sich in ein Künstlerviertel mit Studios Kulturzentren und Restaurants verwandelt 
erklaeren_f1	`` Zum Beispiel Rinderroulade auf die sie drüben verzichten mußten Steak oder ein typisches amerikanisches Gericht '' 	erklärtkeywordtag 	Woelkikeywordtag 
erklaeren_f1	Vielleicht können eines Tages mit seiner Hilfe auch andere gerichtete Bewegungen von Bakterien wie etwa die Ausrichtung zur wärmeren oder auch zur sauerstoffhaltigeren Umgebung 	erklärtkeywordtag 	werden 
erklaeren_f1	Auch Fritz Pleitgen mochte in seiner Runde zu der er sich immerhin fünf journalistische Expertinnen eingeladen hatte partout nicht auf die Querelen um den Tagungsort verzichten obwohl die Kolleginnen ihmkeywordtag mit engelshafter Geduld und vereinten Kräften immer wieder 	erklärtenkeywordtag 	daß die Entscheidung für diesen Ort 1992 fast ausschließlich von Männern gefällt worden war 
erklaeren_f1	Dieskeywordtag 	erklärtekeywordtag 	der stellvertretende Premier und Minister für Tourismus Frank Watson auf dem 5. Weltkongreß `` Abenteuerreisen und Ökotourismus '' in Nassau 
erklaeren_f1	Zum fünften Mal schon so 	erklärtkeywordtag 	die Tonbandstimme sei Mary Sullivan wegen Diebstahls von Glasteilen angeklagt 
erklaeren_f1	In einer Stellungnahme vom Donnerstag 	erklärtekeywordtag 	das mexikanische Außenministerium zugleich ai stelle tatsächliche Fälle übertrieben groß dar 
erklaeren_f1	Daß sich das Trio nach ihren diversen Streitereien überhaupt noch einmal zusammengerauft hat mag nicht mal der größte Beatles-Fan mehr mit dem Spaß an der Freud am gemeisamen Musizieren 	erklärenkeywordtag 	
erklaeren_f1	Daß sich das Trio nach den diversen Zwistigkeiten überhaupt noch einmal zusammengerauft hat mag nicht mal der größte Beatles-Anhänger mehr mit dem Spaß am gemeinsamen Musizieren 	erklärenkeywordtag 	
erklaeren_f1	Nun müsse erkeywordtag 	erklärenkeywordtag 	wie diese Fehler aufgefangen werden könnten verlangte Stolpe 
erklaeren_f1	Der Bundestagsfraktion der SPD solle aber `` in dem Verfahren wie es dann nachher im Bundestag ablaufen wird freie Hand '' gelassen werden 	erklärtekeywordtag 	der Parteichef 
